地名,センター,生活ごみ,缶・びん,ペットボトル,プラ容器包装,小型金属,古紙類
浅香山町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
旭ヶ丘北町1から5丁,東工場,水 土,火1 火3,火2 火4,金,土2,
旭ヶ丘中町1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
旭ヶ丘南町1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
旭通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
旭通3街区,東工場,水 土,木1 木3,木2 木4,月,火2,
綾之町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
綾之町東1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
石津北町,東工場,月 木,火1 火3,火2 火4,金,土2,
石津町1丁から4丁,東工場,月 木,火1 火3,火2 火4,金,土2,
一条通1､3､5､7､9､11､13､15､17､19街区,東工場,水 土,木1 木3,木2 木4,月,火2,
一条通2､4､6､8､10街区,東工場,水 土,火1 火3,火2 火4,金,土2,
一条通12､14､16､18､20街区,東工場,水 土,木1 木3,木2 木4,月,火2,
市之町西1から3丁,東工場,火 金,月2 月4,月1 月3,木,火2,
市之町東1から6丁,東工場,月 木,金2 金4,金1 金3,火,土2,
今池町1から6丁,東工場,月 木,水2 水4,水1 水3,土,木2,
永代町1から2丁,東工場,水 土,火1 火3,火2 火4,金,土2,
永代町3丁から6丁,東工場,水 土,木1 木3,木2 木4,月,火2,
榎元町1から6丁,東工場,水 土,木1 木3,木2 木4,月,火2,
戎島町1から5丁,東工場,火 金,月2 月4,月1 月3,木,火2,
戎之町西1から2丁,東工場,火 金,月2 月4,月1 月3,木,火2,
戎之町東1から5丁,東工場,月 木,金2 金4,金1 金3,火,土2,
老松町1から3丁,東工場,火 金,土1 土3,土2 土4,水,木2,
大町西1から3丁,東工場,火 金,月2 月4,月1 月3,木,火2,
大町東1から4丁,東工場,月 木,金2 金4,金1 金3,火,土2,
大浜北町1から2丁、3丁3から12街区、4丁3から5街区,東工場,火 金,土1 土3,土2 土4,水,木2,
大浜北町3丁1から2街区、4丁1から2街区、5丁,東工場,火 金,月2 月4,月1 月3,木,火2,
大浜中町1から3丁,東工場,火 金,土1 土3,土2 土4,水,木2,
大浜西町,東工場,火 金,土1 土3,土2 土4,水,木2,
大浜南町1から3丁,東工場,火 金,土1 土3,土2 土4,水,木2,
翁橋町1から2丁,東工場,水 土,木1 木3,木2 木4,月,火2,
遠里小野町1から4丁,東工場,月 木,水2 水4,水1 水3,土,木2,
海山町1から7丁,東工場,火 金,月2 月4,月1 月3,木,火2,
甲斐町西1から3丁,東工場,火 金,月2 月4,月1 月3,木,火2,
甲斐町東1から6丁,東工場,月 木,金2 金4,金1 金3,火,土2,
香ヶ丘町1から5丁,東工場,月 木,水2 水4,水1 水3,土,木2,
柏木町1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
春日通1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
霞ヶ丘町1から4丁,東工場,月 木,火1 火3,火2 火4,金,土2,
神石市之町,東工場,月 木,火1 火3,火2 火4,金,土2,
神南辺町1から6丁,東工場,火 金,月2 月4,月1 月3,木,火2,
北瓦町1から2丁,東工場,月 木,金2 金4,金1 金3,火,土2,
北向陽町1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
北清水町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
北庄町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
北田出井町1から3丁,東工場,月 木,金2 金4,金1 金3,火,土2,
北旅籠町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
北旅籠町東1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
北波止町,東工場,火 金,月2 月4,月1 月3,木,火2,
北花田口町1から3丁,東工場,月 木,金2 金4,金1 金3,火,土2,
北半町西,東工場,月 木,水2 水4,水1 水3,土,木2,
北半町東,東工場,水 土,金2 金4,金1 金3,火,土2,
北丸保園,東工場,水 土,木1 木3,木2 木4,月,火2,
北三国ヶ丘町1から8丁,東工場,月 木,金2 金4,金1 金3,火,土2,
北安井町,東工場,水 土,木1 木3,木2 木4,月,火2,
京町通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
京町通3から4街区,東工場,水 土,木1 木3,木2 木4,月,火2,
協和町1から5丁,東工場,火 金,木1 木3,木2 木4,月,火2,
錦綾町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
九間町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
九間町東1から3丁,東工場,水 土,金2 金4,金1 金3,火,土2,
櫛屋町西1丁,東工場,火 金,月2 月4,月1 月3,木,火2,
櫛屋町東1から4丁,東工場,月 木,金2 金4,金1 金3,火,土2,
楠町1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
熊野町西1から3丁,東工場,火 金,月2 月4,月1 月3,木,火2,
熊野町東1から5丁,東工場,月 木,金2 金4,金1 金3,火,土2,
車之町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
車之町東1から3丁,東工場,水 土,金2 金4,金1 金3,火,土2,
向陵中町1から6丁,東工場,水 土,木1 木3,木2 木4,月,火2,
向陵西町1丁、2丁1から7街区、3から4丁,東工場,水 土,木1 木3,木2 木4,月,火2,
向陵西町2丁8街区,東工場,月 木,金2 金4,金1 金3,火,土2,
向陵東町1から3丁,東工場,水 土,木1 木3,木2 木4,月,火2,
五条通1から5街区,東工場,水 土,火1 火3,火2 火4,金,土2,
五条通6街区,東工場,水 土,木1 木3,木2 木4,月,火2,
御陵通1から3街区,東工場,水 土,火1 火3,火2 火4,金,土2,
御陵通4から5街区,東工場,水 土,木1 木3,木2 木4,月,火2,
材木町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
材木町東1から4丁,東工場,水 土,金2 金4,金1 金3,火,土2,
幸通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
幸通3から4街区,東工場,水 土,木1 木3,木2 木4,月,火2,
栄橋町1から2丁,東工場,火 金,月2 月4,月1 月3,木,火2,
桜之町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
桜之町東1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
五月町,東工場,水 土,木1 木3,木2 木4,月,火2,
三条通1から5街区,東工場,水 土,火1 火3,火2 火4,金,土2,
三条通6から7街区,東工場,水 土,木1 木3,木2 木4,月,火2,
三宝町1から9丁,東工場,火 金,月2 月4,月1 月3,木,火2,
塩浜町,東工場,火 金,月2 月4,月1 月3,木,火2,
四条通1から5街区,東工場,水 土,火1 火3,火2 火4,金,土2,
四条通6から7街区,東工場,水 土,木1 木3,木2 木4,月,火2,
七条通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
七条通3から4街区,東工場,水 土,木1 木3,木2 木4,月,火2,
七道西町,東工場,月 木,水2 水4,水1 水3,土,木2,
七道東町,東工場,月 木,水2 水4,水1 水3,土,木2,
東雲西町1丁,東工場,月 木,金2 金4,金1 金3,火,土2,
東雲西町2から4丁,東工場,月 木,水2 水4,水1 水3,土,木2,
宿院町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
宿院町東1から4丁,東工場,月 木,金2 金4,金1 金3,火,土2,
宿屋町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
宿屋町東1から3丁,東工場,水 土,金2 金4,金1 金3,火,土2,
少林寺町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
少林寺町東1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
昭和通1から6丁,東工場,火 金,土1 土3,土2 土4,水,木2,
新在家町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
新在家町東1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
神保通1街区,東工場,水 土,火1 火3,火2 火4,金,土2,
神保通2から3街区,東工場,水 土,木1 木3,木2 木4,月,火2,
新町1街区,東工場,水 土,木1 木3,木2 木4,月,火2,
新町2から5街区,東工場,月 木,金2 金4,金1 金3,火,土2,
神明町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
神明町東1から3丁,東工場,水 土,金2 金4,金1 金3,火,土2,
菅原通1から5丁,東工場,火 金,土1 土3,土2 土4,水,木2,
砂道町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
住吉橋町1から2丁,東工場,火 金,月2 月4,月1 月3,木,火2,
大仙町,東工場,水 土,火1 火3,火2 火4,金,土2,
大仙中町,東工場,水 土,火1 火3,火2 火4,金,土2,
大仙西町1から6丁,東工場,火 金,木1 木3,木2 木4,月,火2,
高砂町1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
高須町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
匠町,東工場,火 金,月2 月4,月1 月3,木,火2,
田出井町,東工場,月 木,金2 金4,金1 金3,火,土2,
築港南町,東工場,火 金,月2 月4,月1 月3,木,火2,
築港八幡町,東工場,火 金,月2 月4,月1 月3,木,火2,
出島海岸通1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
出島町1から5丁,東工場,火 金,土1 土3,土2 土4,水,木2,
出島西町,東工場,火 金,土1 土3,土2 土4,水,木2,
出島浜通,東工場,火 金,土1 土3,土2 土4,水,木2,
鉄砲町,東工場,火 金,月2 月4,月1 月3,木,火2,
寺地町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
寺地町東1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
中瓦町1から2丁,東工場,月 木,金2 金4,金1 金3,火,土2,
中向陽町1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
中田出井町1から3丁,東工場,月 木,金2 金4,金1 金3,火,土2,
中永山園,東工場,水 土,木1 木3,木2 木4,月,火2,
中之町東1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
中之町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
中三国ヶ丘町1から7丁,東工場,月 木,金2 金4,金1 金3,火,土2,
中安井町1から3丁,東工場,水 土,木1 木3,木2 木4,月,火2,
並松町,東工場,月 木,水2 水4,水1 水3,土,木2,
南陵町1から4丁,東工場,月 木,火1 火3,火2 火4,金,土2,
賑町1丁,東工場,水 土,火1 火3,火2 火4,金,土2,
賑町2から4丁,東工場,水 土,木1 木3,木2 木4,月,火2,
錦之町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
錦之町東1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
西永山園,東工場,水 土,木1 木3,木2 木4,月,火2,
西湊町1から6丁,東工場,火 金,土1 土3,土2 土4,水,木2,
二条通1から5街区,東工場,水 土,火1 火3,火2 火4,金,土2,
二条通6から7街区,東工場,水 土,木1 木3,木2 木4,月,火2,
東上野芝町1丁,東工場,水 土,火1 火3,火2 火4,金,土2,
東永山園,東工場,水 土,木1 木3,木2 木4,月,火2,
東湊町1から6丁,東工場,火 金,土1 土3,土2 土4,水,木2,
松屋町1から2丁,東工場,火 金,月2 月4,月1 月3,木,火2,
松屋大和川通1から4丁,東工場,火 金,月2 月4,月1 月3,木,火2,
三国ヶ丘御幸通1から38､152､153番地,東工場,水 土,木1 木3,木2 木4,月,火2,
三国ヶ丘御幸通（ただし､1から38､152､153番地を除く）,東工場,月 木,金2 金4,金1 金3,火,土2,
緑ヶ丘北町1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
緑ヶ丘中町1丁1街区1から13､16､19､26､27､30から32､36から38号､2街区、2丁1街区、3丁1街区、4丁1､5街区,東工場,水 土,火1 火3,火2 火4,金,土2,
緑ヶ丘中町1丁1街区14､15､17､18､20から25､28､29､33から35号､3､4街区、2丁2､3街区、3丁2､3街区、4丁2から4街区,東工場,月 木,火1 火3,火2 火4,金,土2,
緑ヶ丘南町1から4丁,東工場,月 木,火1 火3,火2 火4,金,土2,
緑町1から4丁,東工場,火 金,月2 月4,月1 月3,木,火2,
南瓦町,東工場,月 木,金2 金4,金1 金3,火,土2,
南向陽町1から2丁,東工場,月 木,金2 金4,金1 金3,火,土2,
南島町1から5丁,東工場,火 金,月2 月4,月1 月3,木,火2,
南清水町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
南庄町1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
南田出井町1から4丁,東工場,月 木,金2 金4,金1 金3,火,土2,
南旅篭町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
南旅篭町東1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
南花田口町1から2丁,東工場,月 木,金2 金4,金1 金3,火,土2,
南半町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
南半町東1から2丁,東工場,水 土,火1 火3,火2 火4,金,土2,
南丸保園,東工場,水 土,木1 木3,木2 木4,月,火2,
南三国ヶ丘町1から2丁,東工場,水 土,木1 木3,木2 木4,月,火2,
南三国ヶ丘町3から6丁,東工場,月 木,金2 金4,金1 金3,火,土2,
南安井町1丁,東工場,水 土,火1 火3,火2 火4,金,土2,
南安井町2から6丁,東工場,水 土,木1 木3,木2 木4,月,火2,
百舌鳥夕雲町1から3丁,東工場,水 土,火1 火3,火2 火4,金,土2,
文珠橋通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
文珠橋通3から4街区,東工場,水 土,木1 木3,木2 木4,月,火2,
八千代通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
八千代通3から4街区,東工場,水 土,木1 木3,木2 木4,月,火2,
柳之町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
柳之町東1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
八幡通1から3丁,東工場,火 金,土1 土3,土2 土4,水,木2,
山本町1から6丁,東工場,火 金,月2 月4,月1 月3,木,火2,
竜神橋町1から2丁,東工場,火 金,月2 月4,月1 月3,木,火2,
陵西通1街区,東工場,水 土,火1 火3,火2 火4,金,土2,
陵西通2から3街区,東工場,水 土,木1 木3,木2 木4,月,火2,
六条通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
六条通3から5街区,東工場,水 土,木1 木3,木2 木4,月,火2,
上之,東工場,火 金,土2 土4,土1 土3,水,木2,
大野芝町,東工場,水 土,火2 火4,火1 火3,金,土2,
学園町,東工場,水 土,火2 火4,火1 火3,金,土2,
毛穴町,東工場,水 土,金1 金3,金2 金4,火,土2,
小阪（136の1を除く）,東工場,水 土,月1 月3,月2 月4,木,火2,
小阪136の1,東工場,水 土,金1 金3,金2 金4,火,土2,
小阪西町,東工場,水 土,月1 月3,月2 月4,木,火2,
新家町,東工場,水 土,火2 火4,火1 火3,金,土2,
高蔵寺,東工場,火 金,土2 土4,土1 土3,水,木2,
竹城台1丁1の18､13の5から7 9番地,東工場,火 金,土2 土4,土1 土3,水,木2,
田園,東工場,火 金,土2 土4,土1 土3,水,木2,
辻之,東工場,火 金,土2 土4,土1 土3,水,木2,
陶器北1から22､24から40､42から55の1､55の5から57の1､58の3､66､67の3､87の1 5､87の7から88の1､89の3  6､90の2､90の5､1672から1674の2､1674の4から1679の1､1680の1 4､1681の4から1684の1､1688の1  6､1689の1､1690の3､1696の3 4､1697の3 4､1703､1720から1721､1723から1724番地,東工場,火 金,木2 木4,木1 木3,月,火2,
陶器北23､41､55の2から4､57の2から58の2､59から65､67の1 2､67の4から86､87の2から4 6､88の2から89の2､ 89の4 5､89の7から90の1､90の3 4､90の6から1671､1674の3､1679の2から4､1680の2 3､1680の5から 1681の3､1684の2から1687､1688の2から5 7､1689の2から1690の2､1691から1696の2､1697の1 2､ 1697の5から1702､1704から1719､1722､1725から1918番地,東工場,火 金,土2 土4,土1 土3,水,木2,
土塔町1から1930、1960から1978、1980から1981、1995の1、1995の5から2044の47、2044の49から3414番地,東工場,水 土,火2 火4,火1 火3,金,土2,
土塔町1931から1959､1979､1982から1994､1995の2から4､2044の48番地,東工場,月 木,火2 火4,火1 火3,金,土2,
楢葉,東工場,水 土,月1 月3,月2 月4,木,火2,
土師町1から5丁,東工場,月 木,火2 火4,火1 火3,金,土2,
八田寺町,東工場,水 土,金1 金3,金2 金4,火,土2,
八田北町（ただし、510番地を除く）,東工場,水 土,金1 金3,金2 金4,火,土2,
八田北町510番地,東工場,水 土,月1 月3,月2 月4,木,火2,
八田西町1から3丁,東工場,水 土,金1 金3,金2 金4,火,土2,
八田南之町,東工場,水 土,金1 金3,金2 金4,火,土2,
東八田,東工場,水 土,月1 月3,月2 月4,木,火2,
東山1から858､1116から1122番地,東工場,水 土,月1 月3,月2 月4,木,火2,
東山859から1115番地,東工場,火 金,土2 土4,土1 土3,水,木2,
平井（ただし、623の6 34から47 58から60番地を除く）,東工場,水 土,月1 月3,月2 月4,木,火2,
平井623の6 34から47 58から60番地,東工場,火 金,土2 土4,土1 土3,水,木2,
深井北町,東工場,火 金,水1 水3,水2 水4,土,木2,
深井沢町1から3100､3125から3459番地,東工場,火 金,木2 木4,木1 木3,月,火2,
深井沢町3101から3124番地,東工場,火 金,水1 水3,水2 水4,土,木2,
深井清水町1から1283､1284の2から5､1294から1313､1317の2､1326の2､1332の2､1338の3 5､1339の4､ 1341の3から4､1342の3から4､1346の1､1347の3から4､1348から1350､1351の3から1375の4､1376から 1462､1464から1466､1476から1538､1544から1545､1552から1569､1575の1から2､1577の6 12から 13 17から33､1581の3､1584から3035､3038から3054､3056から3530､3549から3794番地,東工場,火 金,水1 水3,水2 水4,土,木2,
深井清水町1284の1､1285から1293､1314から1317の1､1317の3から1326の1､1326の3から1332の1､1332の3か ら1338の2､1338の4､1338の6から1339の3､1339の5から1341の2､1341の5から1342の2､1342の5から 1345､1346の2から1347の2､1347の5 6､1351の1 2､1375の5､1463､1467から1475､1539から1543､ 1546から1551､1570から1574､1575の3から1577の5 7から11 14から16､1578から1581の2､1581の4から 1583､3036から3037､3055､3531から3548､3795から4113番地,東工場,火 金,木2 木4,木1 木3,月,火2,
深井中町,東工場,火 金,水1 水3,水2 水4,土,木2,
深井畑山町（ただし、2625番地を除く）,東工場,火 金,木2 木4,木1 木3,月,火2,
深井畑山町2625番地,東工場,水 土,火2 火4,火1 火3,金,土2,
深井東町,東工場,火 金,木2 木4,木1 木3,月,火2,
深井水池町（ただし､452､459､460、471、472番地を除く）,東工場,火 金,木2 木4,木1 木3,月,火2,
深井水池町452､459､460、471、472番地,東工場,火 金,水1 水3,水2 水4,土,木2,
深阪,東工場,火 金,土2 土4,土1 土3,水,木2,
福田1から538の1､538の6から540の1､541から543､544の2から4､547の1､547の3から549の2､549の4から550､ 551の1 5､552の2､554の1 2 4､555の1 2､557から558､561から564､568から570､575から598､599の 2から4､642の3､644から651､660､665､670から671､676､681､682の1､682の4から7､683の2 3､842の 5から7､845から867､868の3､869の2から4､1054の6 7､1056の6から1079の1､1080､1306の3 4､1407か ら1408､1419から1674番地,東工場,火 金,土2 土4,土1 土3,水,木2,
福田538の2から5､540の2から8､544の1､544の5から546､547の2､549の3､551の2から4､552の1 3､553､554 の3､555の3から556､559から560､565から567､571から574､599の1､600から642の2､642の4から643､652 から659､661から664､666から669､672から675､677から680､682の2 3､683の1､683の4から842の4､842 の8から844､868の1 2､868の4から869の1､870から1054の5､1055から1056の5､1079の2から5､1081から 1306の2､1307から1398の3、1399から1406、1409から1418番地,東工場,火 金,木2 木4,木1 木3,月,火2,
福田1398の4から13,東工場,水 土,火2 火4,火1 火3,金,土2,
伏尾,東工場,水 土,月1 月3,月2 月4,木,火2,
堀上町,東工場,水 土,金1 金3,金2 金4,火,土2,
見野山,東工場,火 金,土2 土4,土1 土3,水,木2,
三原台2丁11の7 9から17 21番地、3丁59の2から18 21から25番地、4丁60の1､107の3から12 16から21番地,東工場,火 金,土2 土4,土1 土3,水,木2,
宮園町,東工場,水 土,月1 月3,月2 月4,木,火2,
石原町,東工場,火 金,水1 水3,水2 水4,土,木4,
大美野12の2 3 5 9から12番地,東工場,水 土,火2 火4,火1 火3,金,土4,
